lon_deg,lat_deg
90.40000000000002,-31.220135678816256
90.40734015696616,-31.220245038170166
90.41467142209991,-31.220572983752906
90.42198491415637,-31.22111911828531
90.42927177305361,-31.221882780161078
90.43652317042512,-31.222863044234764
90.44373032013671,-31.224058722923598
90.45088448875687,-31.225468367622096
90.45797700596853,-31.227090270427823
90.4649992749107,-31.228922466176325
90.47194278243865,-31.230962734783137
90.47879910929089,-31.233208603890052
90.48555994015169,-31.235657351812844
90.49221707359781,-31.2383060107872
90.49876243191817,-31.24115137050903
90.5051880707952,-31.244189981965427
90.51148618883728,-31.247418161551877
90.51764913695072,-31.250831995471085
90.5236694275411,-31.254427344408573
90.52953974353296,-31.25819984847968
90.53525294719758,-31.262144932442556
90.54080208877829,-31.266257811171062
90.54618041490352,-31.270533495381546
90.55138137677704,-31.274966797607018
90.55639863813639,-31.279552338411804
90.56122608296918,-31.284284552839747
90.5658578229783,-31.28915769708858
90.57028820478682,-31.294165855402802
90.57451181687372,-31.299302947177193
90.57852349623158,-31.304562734262838
90.58231833473819,-31.309938828467228
90.58589168523358,-31.31542469923973
90.5892391672948,-31.321013681533692
90.59235667270106,-31.326698983835886
90.59524037058152,-31.332473696354043
90.5978867122393,-31.33833079935297
90.60029243564475,-31.344263171629354
90.6024545695918,-31.35026359911545
90.6043704375116,-31.356324783601472
90.60603766093772,-31.36243935156641
90.60745416261757,-31.368599863106738
90.60861816926588,-31.374798820952545
90.60952821395487,-31.381028679560227
90.61018313813794,-31.387281854270963
90.6105820933027,-31.39355073052392
90.61072454225061,-31.39982767311315
90.61061026000004,-31.406105035476994
90.61023933431085,-31.41237516900876
90.60961216582822,-31.41863043237739
90.60872946784488,-31.42486320084667
90.60759226568017,-31.431065875581723
90.60620189567592,-31.437230892931247
90.60456000380915,-31.44335073367423
90.60266854392171,-31.449417932219507
90.60052977556838,-31.455425085747102
90.5981462614845,-31.461364863279588
90.59552086467541,-31.467230014672595
90.5926567451299,-31.473013379512874
90.5895573561611,-31.478707895913047
90.58622644037773,-31.484306609191712
90.58266802529029,-31.48980268042827
90.57888641855632,-31.495189394881375
